チャイ ティー ラテ（ホット）,アーモンドミルク,189,1.6,8.1,29,0.4,
チャイ ティー ラテ（ホット）,オーツミルク,195,1.3,4.4,37.9,0.2,
チャイ ティー ラテ（アイス）,ミルク,199,5.5,5.2,32.9,0.2,
チャイ ティー ラテ（アイス）,低脂肪タイプ,176,5.5,2.7,32.8,0.2,
チャイ ティー ラテ（アイス）,無脂肪乳,154,5.5,0.2,32.7,0.2,
チャイ ティー ラテ（アイス）,豆乳,194,5.4,6.3,29.3,0.3,
チャイ ティー ラテ（アイス）,アーモンドミルク,171,1.3,6.4,28.2,0.3,
チャイ ティー ラテ（アイス）,オーツミルク,176,1,3.5,35.3,0.2,
イングリッシュ ブレックファスト ティー ラテ,ミルク,181,6.5,6.1,25.1,0.2,
イングリッシュ ブレックファスト ティー ラテ,低脂肪タイプ,158,6.8,3.3,25.4,0.2,
イングリッシュ ブレックファスト ティー ラテ,無脂肪乳,130,6.8,0.2,25.3,0.3,
イングリッシュ ブレックファスト ティー ラテ,豆乳,174,6.3,7.5,20.8,0.3,
イングリッシュ ブレックファスト ティー ラテ,アーモンドミルク,151,1.5,8,19.7,0.4,
イングリッシュ ブレックファスト ティー ラテ,オーツミルク,157,1.1,4.3,28.6,0.2,
アール グレイ ティー ラテ,ミルク,176,6.5,6.1,23.9,0.2,
アール グレイ ティー ラテ,低脂肪タイプ,153,6.8,3.3,24.2,0.2,
アール グレイ ティー ラテ,無脂肪乳,125,6.8,0.2,24.1,0.3,
アール グレイ ティー ラテ,豆乳,169,6.3,7.5,19.6,0.3,
アール グレイ ティー ラテ,アーモンドミルク,146,1.5,8,18.5,0.4,
アール グレイ ティー ラテ,オーツミルク,152,1.1,4.3,27.4,0.2,
ほうじ茶 ティー ラテ,ミルク,163,6.8,6.3,20.1,0.2,
ほうじ茶 ティー ラテ,低脂肪タイプ,140,7.1,3.5,20.4,0.2,
ほうじ茶 ティー ラテ,無脂肪乳,112,7.1,0.3,20.3,0.3,
ほうじ茶 ティー ラテ,豆乳,156,6.6,7.6,15.8,0.3,
ほうじ茶 ティー ラテ,アーモンドミルク,133,1.8,8.2,14.7,0.4,
ほうじ茶 ティー ラテ,オーツミルク,139,1.4,4.4,23.6,0.2,
カモミール ティー ラテ,ミルク,181,6.5,6.1,25.1,0.2,
カモミール ティー ラテ,低脂肪タイプ,158,6.8,3.3,25.4,0.2,
カモミール ティー ラテ,無脂肪乳,130,6.8,0.2,25.3,0.3,
カモミール ティー ラテ,豆乳,174,6.3,7.5,20.8,0.3,
カモミール ティー ラテ,アーモンドミルク,151,1.5,8,19.7,0.4,
カモミール ティー ラテ,オーツミルク,157,1.1,4.3,28.6,0.2,
ミント シトラス ティー ラテ,ミルク,181,6.5,6.1,25.1,0.2,
ミント シトラス ティー ラテ,低脂肪タイプ,158,6.8,3.3,25.4,0.2,
ミント シトラス ティー ラテ,無脂肪乳,130,6.8,0.2,25.3,0.3,
ミント シトラス ティー ラテ,豆乳,174,6.3,7.5,20.8,0.3,
ミント シトラス ティー ラテ,アーモンドミルク,151,1.5,8,19.7,0.4,
ミント シトラス ティー ラテ,オーツミルク,157,1.1,4.3,28.6,0.2,
ティー（ユースベリー）,,0,0,0,0,0,
ティー（ミント シトラス）,,0,0,0,0,0,
ティー（イングリッシュ ブレックファスト）,,0,0,0,0,0,
ティー（アール グレイ）,,0,0,0,0,0,
ティー（カモミール）,,0,0,0,0,0,
ティー（ハイビスカス）,,0,0,0,0,0,
ティー（ほうじ茶）,,3,0.3,0.2,0.3,0,
ティー（ローズ アリュール）,,9,0,0,0,0,
ティー（ブラック）,,0,0,0,0,0,
ティー（パッション）,,0,0,0,0,0,
